iter	Logloss	Accuracy	Precision	Recall	F1
308	0.310649516	0.8598130841	0.791509434	0.6414373089	0.7086148649
309	0.3106016314	0.8600162536	0.7922568461	0.6414373089	0.7089142374
310	0.3104360031	0.860219423	0.7919020716	0.6429663609	0.7097046414
311	0.3102920898	0.8604225924	0.7926484449	0.6429663609	0.7100042212
312	0.3100483241	0.8604225924	0.7932011331	0.6422018349	0.7097591888
313	0.3097771218	0.8606257619	0.7939508507	0.6422018349	0.7100591716
314	0.3096258286	0.8614384397	0.7947269303	0.6452599388	0.7122362869
315	0.3092911972	0.8614384397	0.7941729323	0.6460244648	0.7124789207
316	0.3091982935	0.8614384397	0.7947269303	0.6452599388	0.7122362869
317	0.3089431393	0.862047948	0.7969782814	0.6452599388	0.7131389945
318	0.3087265605	0.8630637952	0.7990566038	0.6475535168	0.7153716216
319	0.3085809723	0.8628606258	0.7983034873	0.6475535168	0.7150696496
320	0.3083284628	0.8632669646	0.7986829727	0.6490825688	0.7161535217
321	0.3078843232	0.8632669646	0.7986829727	0.6490825688	0.7161535217
322	0.3076923746	0.8636733035	0.7990610329	0.6506116208	0.7172355668
323	0.3075542926	0.863876473	0.799249531	0.6513761468	0.7177759056
324	0.3072784375	0.8646891508	0.8011257036	0.6529051988	0.7194608256
325	0.3070272744	0.8644859813	0.8009389671	0.6521406728	0.7189211968
326	0.3069054405	0.8644859813	0.8009389671	0.6521406728	0.7189211968
327	0.3066431652	0.8642828119	0.8007518797	0.6513761468	0.718381113
328	0.3064147042	0.8646891508	0.8011257036	0.6529051988	0.7194608256
329	0.3061839984	0.8652986591	0.8028169014	0.6536697248	0.7206068268
330	0.3059407368	0.8655018285	0.8024344569	0.6551987768	0.7213804714
331	0.3057208985	0.8661113369	0.8041237113	0.6559633028	0.7225263158
332	0.3054838895	0.8663145063	0.8048780488	0.6559633028	0.7228306655
333	0.3051639552	0.8667208452	0.8052434457	0.6574923547	0.7239057239
334	0.3049085591	0.8667208452	0.8046728972	0.6582568807	0.724137931
335	0.3045093165	0.8669240146	0.8054256314	0.6582568807	0.7244425747
336	0.3042983061	0.8667208452	0.8052434457	0.6574923547	0.7239057239
337	0.3041036324	0.8673303535	0.8063610851	0.6590214067	0.7252839714
338	0.3039629627	0.8671271841	0.8061797753	0.6582568807	0.7247474747
339	0.3038130321	0.8671271841	0.8061797753	0.6582568807	0.7247474747
340	0.303641437	0.8669240146	0.8059981256	0.6574923547	0.7242105263
341	0.3034867105	0.8673303535	0.8063610851	0.6590214067	0.7252839714
342	0.3032801751	0.8673303535	0.8063610851	0.6590214067	0.7252839714
343	0.3030681069	0.867533523	0.8065420561	0.6597859327	0.7258200168
344	0.3026475876	0.8677366924	0.8072965388	0.6597859327	0.7261253681
345	0.302474839	0.8679398618	0.8074766355	0.6605504587	0.7266610597
346	0.3021602301	0.867533523	0.8065420561	0.6597859327	0.7258200168
347	0.3018007152	0.8679398618	0.8069029851	0.6613149847	0.7268907563
348	0.3014767831	0.8681430313	0.8076563959	0.6613149847	0.727196301
349	0.30125253	0.8687525396	0.8081936685	0.6636085627	0.7287993283
350	0.3009788133	0.8691588785	0.8085501859	0.6651376147	0.7298657718
351	0.3007198153	0.8689557091	0.808372093	0.6643730887	0.7293327738
352	0.3004207595	0.8689557091	0.808372093	0.6643730887	0.7293327738
353	0.3001771964	0.8693620479	0.808727948	0.6659021407	0.7303983229
354	0.2999077956	0.8705810646	0.809787627	0.6704892966	0.7335842744
355	0.2997751285	0.8705810646	0.809787627	0.6704892966	0.7335842744
356	0.2996378465	0.8705810646	0.809787627	0.6704892966	0.7335842744
357	0.2992620775	0.8709874035	0.810710988	0.6712538226	0.7344207445
358	0.2990848342	0.8715969118	0.812962963	0.6712538226	0.7353433836
359	0.2987248011	0.8724095896	0.8136531365	0.6743119266	0.737458194
360	0.2984831921	0.8718000813	0.8125577101	0.6727828746	0.7360936847
361	0.2981033386	0.8711905729	0.8108856089	0.6720183486	0.7349498328
362	0.2978905097	0.8713937424	0.8110599078	0.6727828746	0.7354784789
363	0.2975968873	0.8715969118	0.8112338858	0.6735474006	0.7360066834
364	0.2971977188	0.8722064202	0.8129032258	0.6743119266	0.7371500209
365	0.2970469233	0.8724095896	0.8130755064	0.6750764526	0.7376775272
366	0.2968872916	0.8724095896	0.8130755064	0.6750764526	0.7376775272
367	0.296728095	0.8722064202	0.8123275069	0.6750764526	0.7373695198
368	0.2963744566	0.8730190979	0.81359045	0.6773700306	0.7392574051
369	0.296101701	0.8732222674	0.815498155	0.6758409786	0.7391304348
370	0.2957616259	0.8734254368	0.8162511542	0.6758409786	0.739439565
371	0.2954583916	0.8734254368	0.8162511542	0.6758409786	0.739439565
372	0.2953632094	0.8730190979	0.8159111933	0.6743119266	0.7383842612
373	0.2952590456	0.8732222674	0.8160813309	0.6750764526	0.7389121339
374	0.2950692696	0.8736286063	0.8164206642	0.6766055046	0.7399665552
375	0.2947802615	0.8734254368	0.8156682028	0.6766055046	0.7396573339
376	0.2946091964	0.8734254368	0.8156682028	0.6766055046	0.7396573339
377	0.2944950535	0.8736286063	0.8170055453	0.6758409786	0.739748954
378	0.2943073238	0.8740349451	0.8173431734	0.6773700306	0.7408026756
